Company Name, Telephone, Fax, Email, Website
 Abraham Moon & Sons Ltd , +44 (0) 1943 884713,+44 (0) 1943 878455, furnishings@moons.co.uk,http://www.moons.co.uk/
 Airsprung Beds Ltd , 01225 754 411,01225 763 256, sales@airsprungbeds.co.uk,http://www.airsprungbeds.co.uk/
 Alan Cooper Cabinetmaker Ltd  , 07550002345,NaN, alan@ac-c.co.uk,http://www.alancoopercabinetmaker.co.uk/
 All in Stone , 0161 480 4676,NaN, sales@allinstone.co.uk,http://www.allinstone.co.uk/
 All Sofas Ltd , 01789 748 204 |  01789 748 117 |  01789 748 222,NaN, allsofasltd@gmail.com,http://www.allsofas.co.uk/
 Alma Home  , 020 7377 0762 ,020 7375 2471 , sales@almahome.co.uk,http://alma1938.com/
 Alpha Designs Upholstery Limited , 01902 492937,01902 493700, sales@alpha-designs.co.uk,http://alphadesignsupholstery.co.uk/
 Alstons (Upholstery) Ltd , 01206 765343,01206 763401, NaN,http://www.alstons.co.uk
 Andrena Furniture Ltd , 01992 451 722,01992 466 024, enquiries@andrena.co.uk,http://www.andrena.co.uk
 Artistic Upholstery Limited , 0115 973 4481,0115 946 1018, sales@artisticupholstery.co.uk,http://www.artisticupholstery.co.uk
 Ashley Manor Upholstery Ltd. , 01384 486 800,01384 473 075, info@ashleymanor.co.uk,http://www.ashleymanor.co.uk
 Ashwood Designs , 01685 883388,01685 883399 , info@ashwood-designs.co.uk,http://www.ashwood-designs.co.uk/
 Ava Sleep Ltd , 07710495599,NaN, ilyasansari@hotmail.co.uk,http://avamattresses.co.uk/
 Bazaar Group , +44 (0)1670 594137,+44 (0)1670 594 133, NaN,https://www.bazaar-group.uk/
 Belfield Furnishings Ltd  , 0115 9071700 ,0870 0628121, info@belfieldfurnishings.com,http://www.belfieldfurnishings.co.uk/
 Brave Design Ltd , 01744 816883,01744 810030, info@bravedesign.uk.com,http://www.bravedesign.uk.com/
 BrightHouse , 0800 526 069,NaN, NaN,http://www.brighthouse.co.uk/
 Bristows Furniture , 01935 425 221 ,01935 411 904 , sales@bristowsfurniture.com,http://www.bristowsfurniture.com
 Browns of West Wycombe , 01494 524 537,01494 439 548, enquiries@brownsofwestwycombe.com,http://www.brownsofwestwycombe.com
 Buoyant Upholstery  , 01282 691631 ,01282 697298 , sales@buoyant-upholstery.co.uk,http://www.buoyant-upholstery.co.uk/
 CAPS Interiors Ltd , +44 (0)1625 467900 ,NaN, ukinfo@caps-group.com,https://www.caps-group.com/
 Casa Bella Furnishings , 01254 661661,01254 661802, casa.bella@btconnect.com,http://www.designersofasandbeds.co.uk/
 Cavendish Upholstery Limited , 01257 479 402 ,01257 261 665 , suites@cavendish-upholstery.co.uk,http://www.cavendish-upholstery.co.uk/
 Celebrity Motion Furniture , 01623 440 626,NaN, info@celebrity-furniture.co.uk,https://www.celebrity-furniture.co.uk/
 Cintique , 01623 444 896,NaN, info@cintique.co.uk,https://www.cintique.co.uk/
 Colin Buick , 01674 678 600,NaN, Mail@colinbuick.co.uk,http://colinbuick.com/
 Connection Seating Ltd , +44 (0) 1484 600 100,+44 (0) 1484 600 125, sales@connection.uk.com,https://connection.uk.com/
 Corndell Quality Furniture , +44 (0) 1993 776545,+44 (0) 1993 774052, enquiries@corndell.com,http://www.corndell.com/
 Corwell , 0118 983 3404 ,0118 983 3404, info@corwell.co.uk,http://www.corwell.co.uk
 Cotteswood Furniture , +44 (0) 1608 641858 ,+44 (0) 1608 646464 , cotteswood@cotteswood.co.uk,http://www.cotteswood.co.uk
 Craftwood Interiors Ltd , +44(0) 1953 854 009,NaN, sales@craftwood-uk.com,http://www.craftwood-uk.com/
 David Gundry Upholstery Ltd  , 0115 9729147,NaN, enquiries@davidgundry.com,http://www.davidgundry.com/
 David Hunt Lighting , +44(0)1295 672 200,NaN, sales@davidhuntlighting.co.uk,http://www.davidhunt-lighting.com/
 Deep Sleep Beds (UK) Ltd , 01924 274465,01924 278280, deepsleepbedsltd@hotmail.com,NaN
 Delcor Limited , 0191 237 1303,0191 298 0627, sales@delcor.co.uk,http://www.delcor.co.uk/
 Devonshire Living , 01237 471872,NaN, NaN,http://www.devonshireliving.co.uk/
 Distinctive Chesterfields  , 01484 663294 ,0871 661 7018, bob@distinctivechesterfields.co.uk,http://www.distinctivechesterfields.co.uk
 Dreams , 01628 535353,01628 535622, NaN,https://www.dreams.co.uk
 Duresta Upholstery Limited , 0115 973 7000,0115 946 1028, sales@duresta.co.uk,http://www.duresta.com/
 Eat Sleep Live Ltd , 01159 700 060,NaN, info@eatsleeplive.co.uk,http://www.eatsleeplive.co.uk/
